institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
Notre Dame of Maryland University,MD,Baltimore,True,54.0,41910.0
Nova Southeastern University,FL,Ft. Lauderdale,True,227.0,37080.0
Nueta Hidatsa Sahnish College,ND,New Town,True,,3870.0
Oakland City University,IN,Oakland City,True,304.0,27150.0
Oakland University,MI,Rochester,True,332.0,23188.0
Oak Point University,IL,Oak Brook,True,,23188.0
Oakwood University,AL,Huntsville,True,178.0,20040.0
Oberlin College and Conservatory,OH,Oberlin,True,51.0,64646.0
Occidental College,CA,Los Angeles,True,35.0,63446.0
Oglala Lakota College,SD,Kyle,True,,2684.0
Oglethorpe University,GA,Atlanta,True,163.0,45806.0
Ohio Christian University,OH,Circleville,True,148.0,23100.0
Ohio Dominican University,OH,Columbus,True,95.0,34370.0
Ohio Northern University,OH,Ada,True,2.0,37600.0
The Ohio State University,OH,Columbus,True,43.0,36722.0
Ohio University,OH,Athens,True,178.0,24114.0
Ohio Wesleyan University,OH,Delaware,True,116.0,52297.0
Oklahoma Baptist University,OK,Shawnee,True,44.0,34050.0
Oklahoma Christian University,OK,Oklahoma City,True,56.0,25900.0
Oklahoma City University,OK,Oklahoma City,True,280.0,33586.0
Oklahoma Panhandle State University,OK,Goodwell,True,37.0,8426.0
Oklahoma State University,OK,Stillwater,True,185.0,24764.0
Oklahoma State University Institute of Technology--Okmulgee,OK,Okmulgee,True,,11384.0
Oklahoma State University--Oklahoma City,OK,Oklahoma City,True,,9564.0
Oklahoma Wesleyan University,OK,Bartlesville,True,79.0,30262.0
Old Dominion University,VA,Norfolk,True,280.0,32662.0
Olivet Nazarene University,IL,Bourbonnais,True,47.0,37940.0
Olympic College,WA,Bremerton,True,,9740.0
Oral Roberts University,OK,Tulsa,True,74.0,34100.0
Oregon Health and Science University,OR,Portland,True,,43575.0
Oregon Institute of Technology,OR,Klamath Falls,True,5.0,35592.0
Oregon State University,OR,Corvallis,True,142.0,35664.0
Otis College of Art and Design,CA,Los Angeles,True,,50040.0
Ottawa University,KS,Ottawa,True,32.0,33380.0
Otterbein University,OH,Westerville,True,20.0,34899.0
Ouachita Baptist University,AR,Arkadelphia,True,178.0,32480.0
Our Lady of the Lake University,TX,San Antonio,True,,31728.0
Ozark Christian College,MO,Joplin,True,,15550.0
Pace University,NY,New York,True,249.0,51424.0
Pacific College,CA,Costa Mesa,True,,40000.0
Pacific Lutheran University,WA,Tacoma,True,25.0,50964.0
Pacific Northwest College of Art,OR,Portland,True,,45100.0
Pacific Oaks College,CA,Pasadena,True,,11692.0
Pacific Union College,CA,Angwin,True,13.0,35214.0
Pacific University,OR,Forest Grove,True,209.0,54466.0
Paine College,GA,Augusta,True,,14596.0
Palm Beach Atlantic University,FL,West Palm Beach,True,382.0,35900.0
Palm Beach State College,FL,Lake Worth,True,,16895.0
Parker University,TX,Dallas,True,,15718.0
Park University,MO,Parkville,True,,12671.0
Pasco-Hernando State College,FL,New Port Richey,True,,12032.0
Patrick Henry College,VA,Purcellville,True,,28425.0
Paul Quinn College,TX,Dallas,True,38.0,13798.0
Paul Smith's College,NY,Paul Smiths,True,25.0,32048.0
Peirce College,PA,Philadelphia,True,,15060.0
Peninsula College,WA,Port Angeles,True,,4919.0
Pennsylvania Academy of the Fine Arts,PA,Philadelphia,True,,42100.0
Pennsylvania College of Art & Design,PA,Lancaster,True,,29450.0
Pennsylvania College of Technology,PA,Williamsport,True,6.0,25680.0
Pennsylvania State University -- Behrend,PA,Erie,True,,26370.0
Pennsylvania State University--Berks,PA,,True,,26370.0
Pennsylvania State University--Harrisburg,PA,Middletown,True,,26370.0
The Pennsylvania State University--University Park,PA,University Park,True,60.0,38651.0
Pennsylvania Western University,PA,California,True,135.0,14816.0
Pensacola State College,FL,Pensacola,True,,17225.0
Pepperdine University,CA,Malibu,True,76.0,66742.0
Peru State College,NE,Peru,True,148.0,7920.0
Pfeiffer University,NC,Misenheimer,True,71.0,33290.0
Philander Smith College,AR,Little Rock,True,60.0,13014.0
Phillips School of Nursing at Mount Sinai Beth Israel,NY,New York,True,,28323.0
Piedmont University,GA,Demorest,True,52.0,30680.0
Pillar College,NJ,Newark,True,,23668.0
Pittsburgh Technical College,PA,Oakdale,True,,18000.0
Pittsburg State University,KS,Pittsburg,True,96.0,19654.0
Pitzer College,CA,Claremont,True,39.0,62692.0
Platt College,CO,Aurora,True,,20590.0
Plaza College,NY,Forest Hills,True,,14425.0
Plymouth State University,NH,Plymouth,True,130.0,25498.0
Point Loma Nazarene University,CA,San Diego,True,9.0,43550.0
Point Park University,PA,Pittsburgh,True,352.0,48070.0
Point University,GA,West Point,True,74.0,22300.0
Polk State College,FL,Winter Haven,True,,12272.0
Pomona College,CA,Claremont,True,4.0,62326.0
Pontifical Catholic University of Puerto Rico--Arecibo,PR,Arecibo,True,,5818.0
Pontifical Catholic University of Puerto Rico--Ponce,PR,Ponce,True,380.0,5920.0
Pontifical College Josephinum,OH,Columbus,True,,26763.0
Portland State University,OR,Portland,True,280.0,24495.0
Post University,CT,Waterbury,True,,32525.0
Prairie View A&M University,TX,Prairie View,True,,26874.0
Pratt Institute,NY,Brooklyn,True,,59683.0
Presbyterian College,SC,Clinton,True,139.0,43300.0
Prescott College,AZ,Prescott,True,90.0,35685.0
Princeton University,NJ,Princeton,True,1.0,59710.0
Principia College,IL,Elsah,True,51.0,33280.0
Providence Christian College,CA,Pasadena,True,,33884.0
Providence College,RI,Providence,True,1.0,60848.0
Provo College,UT,Provo,True,,17112.0
Pueblo Community College,CO,Pueblo,True,,16275.0
Puerto Rico Conservatory of Music,PR,San Juan,True,,3370.0
Purchase College--SUNY,NY,Purchase,True,139.0,18863.0
Purdue University--Fort Wayne,IN,Fort Wayne,True,117.0,22220.0
Purdue University Global,IN,West Lafayette,True,,14445.0
Purdue University--Main Campus,IN,West Lafayette,True,43.0,28794.0
Purdue University--Northwest,IN,Hammond,True,103.0,13096.0
Queens University of Charlotte,NC,Charlotte,True,16.0,42790.0
Quincy University,IL,Quincy,True,36.0,35740.0
Quinnipiac University,CT,Hamden,True,170.0,53090.0
Radford University,VA,Radford,True,304.0,24738.0
Ramapo College of New Jersey,NJ,Mahwah,True,27.0,25374.0
Randolph College,VA,Lynchburg,True,165.0,29010.0
Randolph-Macon College,VA,Ashland,True,107.0,48106.0
Ranken Technical College,MO,Saint Louis,True,,16960.0
Rasmussen University,MN,,True,,11205.0
Red Rocks Community College,CO,Lakewood,True,,16135.0
Reed College,OR,Portland,True,67.0,64760.0
Regent's American College London,,London NW1 4NS,True,,
Regent University,VA,Virginia Beach,True,369.0,20685.0
Regis College,MA,Weston,True,45.0,47770.0
Regis University,CO,Denver,True,260.0,43980.0
Reinhardt University,GA,Waleska,True,34.0,28420.0
Rensselaer Polytechnic Institute,NY,Troy,True,60.0,61884.0
Renton Technical College,WA,Renton,True,,6252.0
Research College of Nursing,MO,Kansas City,True,,18000.0
Rhode Island College,RI,Providence,True,96.0,26519.0
Rhode Island School of Design,RI,Providence,True,4.0,57505.0
Rhodes College,TN,Memphis,True,56.0,54892.0
Rice University,TX,Houston,True,17.0,58128.0
Richmond American University London,,"Chiswick, London W4 5AN",True,,
Rider University,NJ,Lawrenceville,True,33.0,38900.0
Ringling College of Art and Design,FL,Sarasota,True,,55260.0
Rio Hondo College,CA,Whittier,True,,9884.0
Ripon College,WI,Ripon,True,146.0,50700.0
Rivier University,NH,Nashua,True,,36610.0
Roanoke College,VA,Salem,True,130.0,36774.0
Robert Morris University,PA,Moon Township,True,201.0,34740.0
Roberts Wesleyan College,NY,Rochester,True,91.0,37380.0
Rochester Institute of Technology,NY,Rochester,True,98.0,57016.0
Rochester University,MI,Rochester Hills,True,51.0,26735.0
Rockford University,IL,Rockford,True,138.0,36800.0
Rockhurst University,MO,Kansas City,True,13.0,42901.0
Rocky Mountain College,MT,Billings,True,91.0,33252.0
Rocky Mountain College of Art and Design,CO,Lakewood,True,29.0,22607.0
Rogers State University,OK,Claremore,True,31.0,16260.0
Roger Williams University,RI,Bristol,True,50.0,42666.0
Rollins College,FL,Winter Park,True,1.0,58300.0
Roosevelt University,IL,Chicago,True,390.0,20280.0
Rose-Hulman Institute of Technology,IN,Terre Haute,True,,54174.0
Roseman University of Health Sciences,NV,Henderson,True,,41667.0
Rosemont College,PA,Rosemont,True,148.0,21175.0
Rowan University,NJ,Glassboro,True,163.0,25564.0
Russell Sage College,NY,Troy,True,195.0,36756.0
Rust College,MS,Holly Springs,True,,9900.0
Rutgers University--Camden,NJ,Camden,True,98.0,35841.0
Rutgers University--Newark,NJ,Newark,True,82.0,35348.0
Rutgers University--New Brunswick,NJ,Piscataway,True,40.0,36001.0
Sacred Heart Major Seminary,MI,Detroit,True,,22277.0
Sacred Heart University,CT,Fairfield,True,209.0,48460.0
Saginaw Valley State University,MI,University Center,True,120.0,27164.0
Saint Anselm College,NH,Manchester,True,89.0,46800.0
Saint Anthony College of Nursing,IL,Rockford,True,,27811.0
Saint Augustine's University,NC,Raleigh,True,86.0,16896.0
Saint Elizabeth University,NJ,Morristown,True,96.0,35836.0
Saint Johns River State College,FL,Palatka,True,,10347.0
Saint Joseph's University,PA,Philadelphia,True,8.0,51340.0
Saint Leo University,FL,Saint Leo,True,390.0,28360.0
Saint Louis University,MO,St. Louis,True,105.0,53244.0
Saint Martin's University,WA,Lacey,True,33.0,44210.0
Saint Mary-of-the-Woods College,IN,St. Mary-of-the-Woods,True,35.0,33490.0
Saint Mary's College,IN,Notre Dame,True,82.0,51430.0
Saint Mary's College of California,CA,Moraga,True,4.0,56134.0
Saint Mary's University of Minnesota,MN,Winona,True,296.0,43160.0
Saint Michael's College,VT,Colchester,True,116.0,50040.0
Saint Peter's University,NJ,Jersey City,True,45.0,41054.0
Saint Vincent College,PA,Latrobe,True,124.0,41785.0
Saint Xavier University,IL,Chicago,True,38.0,36840.0
Salem College,NC,Winston-Salem,True,139.0,32236.0
Salem State University,MA,Salem,True,96.0,18961.0
Salem University,WV,Salem,True,,13150.0
Salisbury University,MD,Salisbury,True,54.0,21332.0
Salish Kootenai College,MT,Pablo,True,,11583.0
Salve Regina University,RI,Newport,True,27.0,47930.0
Samford University,AL,Birmingham,True,185.0,38144.0
Sam Houston State University,TX,Huntsville,True,249.0,22996.0
Samuel Merritt University,CA,Oakland,True,,86969.0
San Diego Christian College,CA,Santee,True,98.0,26300.0
San Diego Mesa College,CA,San Diego,True,,7440.0
San Diego State University,CA,San Diego,True,105.0,20170.0
San Francisco Conservatory of Music,CA,San Francisco,True,,52800.0
San Francisco State University,CA,San Francisco,True,178.0,19404.0
San Joaquin Valley College--Visalia,CA,Visalia,True,,16802.0
San Jose State University,CA,San Jose,True,4.0,19872.0
San Juan Bautista School of Medicine,PR,Caguas,True,,9849.0
Santa Ana College,CA,Santa Ana,True,,8788.0
Santa Clara University,CA,Santa Clara,True,60.0,59241.0
Santa Fe College,FL,Gainesville,True,,9189.0
Santa Monica College,CA,Santa Monica,True,,9094.0
Sarah Lawrence College,NY,Bronxville,True,100.0,63678.0
Savannah College of Art and Design,GA,Savannah,True,9.0,40095.0
Savannah State University,GA,Savannah,True,110.0,30274.0
Schoolcraft College,MI,Livonia,True,,7652.0
School of the Art Institute of Chicago,IL,Chicago,True,,54530.0
School of Visual Arts,NY,New York,True,104.0,49140.0
Schreiner University,TX,Kerrville,True,67.0,37396.0
Scripps College,CA,Claremont,True,35.0,63434.0
Seattle Central College,WA,Seattle,True,,5354.0
Seattle Pacific University,WA,Seattle,True,269.0,38814.0
Seattle University,WA,Seattle,True,163.0,54285.0
Seminole State College of Florida,FL,Sanford,True,,11456.0
Sentara College of Health Sciences,VA,Chesapeake,True,,2828.0
Seton Hall University,NJ,South Orange,True,151.0,51370.0
Seton Hill University,PA,Greensburg,True,39.0,41414.0
Shasta College,CA,Redding,True,,8271.0
Shawnee State University,OH,Portsmouth,True,133.0,16157.0
Shaw University,NC,Raleigh,True,,16480.0
Shenandoah University,VA,Winchester,True,304.0,36028.0
Shepherd University,WV,Shepherdstown,True,79.0,18722.0
Shippensburg University of Pennsylvania,PA,Shippensburg,True,104.0,14122.0
Shorter University,GA,Rome,True,105.0,24044.0
Siena College,NY,Loudonville,True,13.0,42880.0
Siena Heights University,MI,Adrian,True,55.0,29044.0
Sierra Nevada University,NV,Incline Village,True,,
Simmons University,MA,Boston,True,151.0,45538.0
Simpson College,IA,Indianola,True,5.0,46212.0
Simpson University,CA,Redding,True,174.0,38522.0
Sinte Gleska University,SD,Rosebud,True,,4714.0
Sitting Bull College,ND,Fort Yates,True,,4010.0
Skagit Valley College,WA,Mount Vernon,True,,7888.0
Skidmore College,NY,Saratoga Springs,True,38.0,64880.0
Skyline College,CA,San Bruno,True,,9508.0
Slippery Rock University of Pennsylvania,PA,Slippery Rock,True,50.0,14615.0
Smith College,MA,Northampton,True,16.0,61568.0
Snow College,UT,Ephraim,True,19.0,14130.0
Soka University of America,CA,Aliso Viejo,True,56.0,37450.0
Solano Community College,CA,Fairfield,True,,7628.0
Sonoma State University,CA,Rohnert Park,True,27.0,22388.0
South Carolina State University,SC,Orangeburg,True,79.0,23282.0
South College,TN,Knoxville,True,,17335.0
South Dakota School of Mines and Technology,SD,Rapid City,True,26.0,14800.0
South Dakota State University,SD,Brookings,True,296.0,12809.0
Southeastern Baptist Theological Seminary,NC,Wake Forest,True,296.0,10234.0
Southeastern Louisiana University,LA,Hammond,True,84.0,20851.0
Southeastern Oklahoma State University,OK,Durant,True,98.0,15930.0
Southeastern University,FL,Lakeland,True,,31732.0
Southeast Missouri Hospital College of Nursing and Health Sciences,MO,Cape Girardeau,True,,11691.0
Southeast Missouri State University,MO,Cape Girardeau,True,88.0,10839.0
Southern Adventist University,TN,Collegedale,True,41.0,25290.0
Southern Arkansas University,AR,Magnolia,True,86.0,15400.0
Southern Baptist Theological Seminary,KY,Louisville,True,,12000.0
Southern California Institute of Architecture,CA,Los Angeles,True,,50690.0
Southern California University of Health Sciences,CA,Whittier,True,,13125.0
Southern Connecticut State University,CT,New Haven,True,64.0,26104.0
Southern Illinois University--Carbondale,IL,Carbondale,True,280.0,15522.0
Southern Illinois University Edwardsville,IL,Edwardsville,True,332.0,12922.0
Southern Methodist University,TX,Dallas,True,89.0,64460.0
Southern Nazarene University,OK,Bethany,True,75.0,28600.0
Southern New Hampshire University,NH,Manchester,True,,16450.0
Southern Oregon University,OR,Ashland,True,69.0,30051.0
Southern University and A&M College,LA,Baton Rouge,True,,10479.0
Southern University at New Orleans,LA,New Orleans,True,,8000.0
Southern Utah University,UT,Cedar City,True,60.0,20586.0
Southern Virginia University,VA,Buena Vista,True,,19108.0
Southern Wesleyan University,SC,Central,True,52.0,27820.0
South Florida State College,FL,Avon Park,True,,11859.0
South Georgia State College,GA,Douglas,True,85.0,9322.0
South Seattle College,WA,Seattle,True,,5354.0
South Texas College,TX,McAllen,True,42.0,7500.0
South University,GA,Savannah,True,,17014.0
South University-Tampa,FL,Tampa,True,,17014.0
Southwest Baptist University,MO,Bolivar,True,131.0,28377.0
Southwestern Adventist University,TX,Keene,True,15.0,24588.0
Southwestern Assemblies of God University,TX,Waxahachie,True,82.0,17782.0
Southwestern Christian College,TX,Terrell,True,,12030.0
Southwestern Christian University,OK,Bethany,True,43.0,21416.0
Southwestern College,KS,Winfield,True,47.0,38480.0
Southwestern Oklahoma State University,OK,Weatherford,True,64.0,15240.0
Southwestern University,TX,Georgetown,True,89.0,50858.0
Southwest Minnesota State University,MN,Marshall,True,103.0,10304.0
Spalding University,KY,Louisville,True,64.0,27300.0
Spelman College,GA,Atlanta,True,39.0,30058.0
Spokane Community College,WA,Spokane,True,,5278.0
Spokane Falls Community College,WA,Spokane,True,,5278.0
Spring Arbor University,MI,Spring Arbor,True,67.0,32580.0
Springfield College,MA,Springfield,True,216.0,43707.0
Spring Hill College,AL,Mobile,True,8.0,23270.0
St. Ambrose University,IA,Davenport,True,320.0,35598.0
St. Andrews University,NC,Laurinburg,True,89.0,29600.0
Stanford University,CA,Stanford,True,3.0,62484.0
State College of Florida--Manatee-Sarasota,FL,Bradenton,True,,11595.0
St. Augustine College,IL,Chicago,True,22.0,13288.0
St. Bonaventure University,NY,St. Bonaventure,True,17.0,40150.0
St. Catherine University,MN,St. Paul,True,216.0,49758.0
St. Charles Borromeo Seminary,PA,Wynnewood,True,,24060.0
St. Cloud State University,MN,St. Cloud,True,76.0,8812.0
St. Edward's University,TX,Austin,True,6.0,51384.0
Stephen F. Austin State University,TX,Nacogdoches,True,39.0,22876.0
Stephens College,MO,Columbia,True,83.0,25586.0
Sterling College (KS),KS,Sterling,True,45.0,30000.0
Sterling College (VT),VT,Craftsbury Common,True,32.0,39200.0
Stetson University,FL,DeLand,True,4.0,55220.0
Stevens Institute of Technology,NJ,Hoboken,True,76.0,60952.0
Stevenson University,MD,Owings Mills,True,91.0,39708.0
St. Francis College,NY,Brooklyn,True,18.0,27298.0
St. Francis Medical Center College of Nursing,IL,Peoria,True,,22008.0
St. Francis University,PA,Loretto,True,30.0,40520.0
Stillman College,AL,Tuscaloosa,True,74.0,11392.0
St. John Fisher University,NY,Rochester,True,185.0,39666.0
St. John's College (IL),IL,Springfield,True,,25466.0
St. John's College (MD),MD,Annapolis,True,75.0,39126.0
St. John's College (NM),NM,Santa Fe,True,93.0,39356.0
St. John's University (MN),MN,Collegeville,True,82.0,53942.0
St. John's University (NY),NY,Queens,True,163.0,50110.0
St. John Vianney College Seminary,FL,Miami,True,,23100.0
St. Joseph's College (ME),ME,Standish,True,91.0,41586.0
St. Joseph Seminary College,LA,St. Benedict,True,,24725.0
"St. Joseph's University, New York",NY,Brooklyn,True,45.0,34525.0
St. Lawrence University,NY,Canton,True,59.0,63870.0
St Luke's College,IA,Sioux City,True,,20940.0
St. Mary's College of Maryland,MD,St. Marys City,True,82.0,31312.0
St. Mary's University of San Antonio,TX,San Antonio,True,14.0,36242.0
St. Norbert College,WI,De Pere,True,93.0,44432.0
Stockton University,NJ,Galloway,True,159.0,23420.0
St. Olaf College,MN,Northfield,True,51.0,56970.0
Stone Child College,MT,Boneau,True,,2645.0
Stonehill College,MA,Easton,True,86.0,52300.0
Stony Brook University--SUNY,NY,Stony Brook,True,58.0,30350.0
St. Petersburg College,FL,St. Petersburg,True,,8513.0
Stratford University,VA,Alexandria,True,,
Strayer University,DC,Washington,True,,13515.0
St. Thomas Aquinas College,NY,Sparkill,True,119.0,37870.0
St. Thomas University,FL,Miami Gardens,True,,34770.0
Suffolk University,MA,Boston,True,249.0,45380.0
Sullivan University,KY,Louisville,True,,14220.0
Sul Ross State University,TX,Alpine,True,95.0,17729.0
SUM Bible College and Theological Seminary,CA,El Dorado Hills,True,,10730.0
SUNY Brockport,NY,Brockport,True,64.0,15768.0
SUNY Buffalo State University,NY,Buffalo,True,119.0,18906.0
SUNY Cobleskill,NY,Cobleskill,True,12.0,18544.0
SUNY College--Cortland,NY,Cortland,True,60.0,18760.0
SUNY College of Environmental Science and Forestry,NY,Syracuse,True,115.0,21036.0
SUNY College of Technology at Canton,NY,Canton,True,9.0,18719.0
SUNY College of Technology--Delhi,NY,Delhi,True,20.0,12490.0
SUNY College--Old Westbury,NY,Old Westbury,True,94.0,18278.0
SUNY Downstate Health Sciences University,NY,Brooklyn,True,,18493.0
SUNY Empire State College,NY,Saratoga Springs,True,,17540.0
SUNY--Fredonia,NY,Fredonia,True,69.0,18705.0
SUNY--Geneseo,NY,Geneseo,True,12.0,19206.0
SUNY Maritime College,NY,Throggs Neck,True,25.0,18480.0
SUNY Morrisville,NY,Morrisville,True,26.0,13800.0
SUNY--New Paltz,NY,New Paltz,True,24.0,18434.0
SUNY--Oneonta,NY,Oneonta,True,30.0,18704.0
SUNY Oswego,NY,Oswego,True,39.0,18679.0
SUNY Plattsburgh,NY,Plattsburgh,True,54.0,18860.0
SUNY Polytechnic Institute,NY,Utica,True,25.0,19338.0
SUNY Potsdam,NY,Potsdam,True,80.0,18622.0
Susquehanna University,PA,Selinsgrove,True,107.0,57400.0
Swarthmore College,PA,Swarthmore,True,4.0,62412.0
Sweet Briar College,VA,Sweet Briar,True,180.0,23590.0
Syracuse University,NY,Syracuse,True,67.0,63061.0
Tabor College,KS,Hillsboro,True,36.0,35050.0
Tacoma Community College,WA,Tacoma,True,,10649.0
Talladega College,AL,Talladega,True,61.0,15650.0
Tallahassee Community College,FL,Tallahassee,True,,8062.0
Tarleton State University,TX,Stephenville,True,376.0,21932.0
Taylor University,IN,Upland,True,3.0,38440.0
Temple University,PA,Philadelphia,True,89.0,35956.0
Tennessee State University,TN,Nashville,True,,21692.0
Tennessee Tech University,TN,Cookeville,True,249.0,15030.0
Tennessee Wesleyan University,TN,Athens,True,15.0,29264.0
Texas A&M International University,TX,Laredo,True,44.0,21720.0
Texas A&M University,TX,College Station,True,47.0,40607.0
Texas A&M University--Commerce,TX,Commerce,True,369.0,22626.0
Texas A&M University--Corpus Christi,TX,Corpus Christi,True,,23727.0
Texas A&M University--Kingsville,TX,Kingsville,True,352.0,11445.0
Texas A&M University--San Antonio,TX,San Antonio,True,,22764.0
Texas A&M University--Texarkana,TX,Texarkana,True,75.0,9866.0
Texas Christian University,TX,Fort Worth,True,98.0,57220.0
Texas College,TX,Tyler,True,,10008.0
Texas Lutheran University,TX,Seguin,True,11.0,34920.0
Texas Southern University,TX,Houston,True,,21413.0
Texas State University,TX,San Marcos,True,280.0,24447.0
Texas Tech University,TX,Lubbock,True,216.0,24092.0
Texas Tech University Health Sciences Center-El Paso,TX,El Paso,True,,25456.0
Texas Tech University Health Sciences Center-Lubbock,TX,Lubbock,True,,23057.0
Texas Wesleyan University,TX,Fort Worth,True,,36128.0
Texas Woman's University,TX,Denton,True,332.0,23140.0
Thiel College,PA,Greenville,True,23.0,36864.0
Thomas Aquinas College,CA,Santa Paula,True,67.0,28700.0
Thomas College,ME,Waterville,True,146.0,30896.0
Thomas Edison State University,NJ,Trenton,True,,9556.0
Thomas Jefferson University,PA,Philadelphia,True,142.0,45733.0
Thomas More College of Liberal Arts,NH,Merrimack,True,,28000.0
Thomas More University,KY,Crestview Hills,True,79.0,38400.0
Thomas University,GA,Thomasville,True,122.0,11080.0
Tiffin University,OH,Tiffin,True,145.0,30120.0
Toccoa Falls College,GA,Toccoa Falls,True,30.0,23250.0
Tougaloo College,MS,Tougaloo,True,181.0,11398.0
Touro University,NY,New York,True,195.0,21810.0
Touro University Nevada,NV,Henderson,True,,10290.0
Towson University,MD,Towson,True,21.0,28326.0
Transylvania University,KY,Lexington,True,121.0,44980.0
Trevecca Nazarene University,TN,Nashville,True,382.0,27300.0
Trine University,IN,Angola,True,14.0,35600.0
Trinity Bible College and Graduate School,ND,Ellendale,True,,18216.0
Trinity Christian College,IL,Palos Heights,True,15.0,20100.0
Trinity College,CT,Hartford,True,39.0,67420.0
Trinity College of Nursing & Health Sciences,IL,Rock Island,True,,27955.0
Trinity International University,IL,Deerfield,True,,33898.0
Trinity University,TX,San Antonio,True,59.0,51352.0
Trinity Washington University,DC,Washington,True,121.0,25610.0
Trocair College,NY,BUffalo,True,,19250.0
Troy University,AL,Troy,True,55.0,24480.0
Truckee Meadows Community College,NV,,True,,10639.0
Truett McConnell University,GA,Cleveland,True,63.0,25568.0
Truman State University,MO,Kirksville,True,5.0,17856.0
Tufts University,MA,Medford,True,40.0,67844.0
Tulane University,LA,New Orleans,True,73.0,65538.0
Turtle Mountain Community College,ND,Belcourt,True,,2482.0
Tusculum University,TN,Greeneville,True,86.0,28500.0
Tuskegee University,AL,Tuskegee,True,8.0,22679.0
Tyler Junior College,TX,Tyler,True,,5482.0
Union College (KY),KY,Barbourville,True,113.0,30946.0
Union College (NE),NE,Lincoln,True,15.0,27990.0
Union College (NY),NY,Schenectady,True,45.0,66456.0
Union Institute and University,OH,Cincinnati,True,,17141.0
Union University,TN,Jackson,True,249.0,38300.0
United States Air Force Academy,CO,USAF Academy,True,7.0,0.0
United States Coast Guard Academy,CT,New London,True,1.0,0.0
United States International University--Kenya,,Nairobi,True,,
United States Merchant Marine Academy,NY,Kings Point,True,3.0,2016.0
United States Military Academy at West Point,NY,West Point,True,8.0,0.0
United States Naval Academy,MD,Annapolis,True,3.0,0.0
United States University,CA,Chula Vista,True,,6630.0
United Tribes Technical College,ND,Bismarck,True,,4252.0
Unitek College,CA,,True,,36630.0
Unity Environmental University,ME,Unity,True,,12640.0
Universidad Adventista de las Antillas,PR,Mayaguez,True,96.0,7700.0
Universidad Ana G. Mendez--Carolina Campus,PR,Carolina,True,,6920.0
Universidad Ana G. Mendez--Cupey Campus,PR,Rio Piedras,True,,6920.0
Universidad Ana G. Mendez--Gurabo Campus,PR,Gurabo,True,,6920.0
Universidad Central Del Caribe,PR,Bayamon,True,,6597.0
Universidad del Sagrado Corazon,PR,Santurce,True,120.0,6170.0
Universidad Politecnica de Puerto Rico,PR,Hato Rey,True,,9102.0
University at Albany--SUNY,NY,Albany,True,133.0,28998.0
University at Buffalo--SUNY,NY,Buffalo,True,76.0,30571.0
University of Advancing Technology,AZ,Tempe,True,27.0,18794.0
The University of Akron,OH,Akron,True,361.0,17239.0
The University of Alabama,AL,Tuscaloosa,True,170.0,33200.0
University of Alabama at Birmingham,AL,Birmingham,True,142.0,26520.0
University of Alabama at Huntsville,AL,Huntsville,True,227.0,24770.0
University of Alaska--Anchorage,AK,Anchorage,True,86.0,25356.0
University of Alaska--Fairbanks,AK,Fairbanks,True,389.0,22032.0
University of Alaska--Southeast,AK,Juneau,True,,21096.0
University of Antelope Valley,CA,Lancaster,True,12.0,67080.0
University of Arizona,AZ,Tucson,True,115.0,37355.0
University of Arkansas,AR,Fayetteville,True,178.0,28772.0
University of Arkansas at Little Rock,AR,Little Rock,True,390.0,18957.0
University of Arkansas for Medical Sciences,AR,Little Rock,True,,16114.0
University of Arkansas -- Fort Smith,AR,Fort Smith,True,34.0,17095.0
University of Arkansas--Monticello,AR,Monticello,True,,14281.0
University of Arkansas--Pine Bluff,AR,Pine Bluff,True,41.0,15838.0
University of Baltimore,MD,Baltimore,True,104.0,23490.0
University of Bridgeport,CT,Bridgeport,True,389.0,35760.0
"University of California, Berkeley",CA,Berkeley,True,15.0,48465.0
"University of California, Davis",CA,Davis,True,28.0,46043.0
"University of California, Irvine",CA,Irvine,True,33.0,47759.0
"University of California, Los Angeles",CA,Los Angeles,True,15.0,46326.0
"University of California, Merced",CA,Merced,True,60.0,43777.0
"University of California, Riverside",CA,Riverside,True,76.0,46266.0
"University of California, San Diego",CA,La Jolla,True,28.0,48630.0
"University of California, Santa Barbara",CA,Santa Barbara,True,35.0,45658.0
"University of California, Santa Cruz",CA,Santa Cruz,True,82.0,47862.0
University of Central Arkansas,AR,Conway,True,,17258.0
University of Central Florida,FL,Orlando,True,124.0,22467.0
University of Central Missouri,MO,Warrensburg,True,67.0,18060.0
University of Central Oklahoma,OK,Edmond,True,67.0,19121.0
University of Charleston,WV,Charleston,True,,31900.0
University of Chicago,IL,Chicago,True,12.0,65619.0
University of Cincinnati,OH,Cincinnati,True,142.0,27140.0
University of Cincinnati--UC Blue Ash College,OH,Cincinnati,True,,15588.0
University of Colorado Boulder,CO,Boulder,True,105.0,41966.0
University of Colorado Colorado Springs,CO,Colorado Springs,True,,27072.0
University of Colorado Denver,CO,Denver,True,236.0,35106.0
University of Connecticut,CT,Storrs,True,58.0,43034.0
University of Dallas,TX,Irving,True,18.0,50880.0
University of Dayton,OH,Dayton,True,133.0,47600.0
University of Delaware,DE,Newark,True,76.0,39720.0
University of Denver,CO,Denver,True,124.0,59340.0
University of Detroit Mercy,MI,Detroit,True,185.0,31058.0
University of Dubuque,IA,Dubuque,True,84.0,40065.0
