institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
Centenary College,LA,Shreveport,True,139.0,40000.0
Centenary University,NJ,Hackettstown,True,106.0,35934.0
Central Baptist College,AR,Conway,True,68.0,19680.0
Central Christian College of Kansas,KS,McPherson,True,,30800.0
Central College,IA,Pella,True,135.0,20988.0
Central Connecticut State University,CT,New Britain,True,69.0,25736.0
Centralia College,WA,Centralia,True,,5381.0
Central Methodist University -- College of Liberal Arts and Sciences,MO,Fayette,True,27.0,27140.0
Central Michigan University,MI,Mount Pleasant,True,260.0,14790.0
Central Penn College,PA,Summerdale,True,35.0,19404.0
Central State University,OH,Wilberforce,True,,9830.0
Central Washington University,WA,Ellensburg,True,37.0,26393.0
Centre College,KY,Danville,True,51.0,50550.0
Chadron State College,NE,Chadron,True,132.0,7834.0
Chamberlain University,IL,Downers Grove,True,,20410.0
Chaminade University of Honolulu,HI,Honolulu,True,30.0,29970.0
Champlain College,VT,Burlington,True,91.0,45550.0
Chapman University,CA,Orange,True,133.0,62784.0
Charles R. Drew University of Medicine and Science,CA,Los Angeles,True,,18800.0
Charleston Southern University,SC,Charleston,True,59.0,29990.0
Chatham University,PA,Pittsburgh,True,209.0,43810.0
Chestnut Hill College,PA,Philadelphia,True,121.0,39410.0
Cheyney University of Pennsylvania,PA,Cheyney,True,182.0,18870.0
Chicago School of Professional Psychology at Los Angeles,CA,Los Angeles,True,,13224.0
Chicago State University,IL,Chicago,True,,13638.0
Chipola College,FL,Marianna,True,,8950.0
Chowan University,NC,Murfreesboro,True,68.0,27110.0
Christ College of Nursing and Health Sciences,OH,Cincinnati,True,,16472.0
Christian Brothers University,TN,Memphis,True,13.0,37300.0
Christopher Newport University,VA,Newport News,True,7.0,30588.0
"The Citadel, The Military College of South Carolina",SC,Charleston,True,2.0,36614.0
Claflin University,SC,Orangeburg,True,159.0,17046.0
Claremont McKenna College,CA,Claremont,True,11.0,64150.0
Clark Atlanta University,GA,Atlanta,True,361.0,26446.0
Clark College,WA,Vancouver,True,,10133.0
Clarke University,IA,Dubuque,True,280.0,39600.0
Clarkson College,NE,Omaha,True,,14880.0
Clarkson University,NY,Potsdam,True,142.0,57950.0
Clarks Summit University,PA,Clarks Summit,True,,29700.0
Clark University,MA,Worcester,True,142.0,55187.0
Clayton State University,GA,Morrow,True,91.0,19486.0
Clear Creek Baptist Bible College,KY,Pineville,True,,9970.0
Cleary University,MI,Howell,True,,13629.0
Clemson University,SC,Clemson,True,86.0,39502.0
Cleveland Institute of Art,OH,Cleveland,True,,47880.0
Cleveland Institute of Music,OH,Cleveland,True,,42370.0
Cleveland State University,OH,Cleveland,True,320.0,17875.0
Cleveland University--Kansas City,KS,Overland Park,True,,14400.0
Clover Park Technical College,WA,Lakewood,True,,5909.0
Coastal Carolina University,SC,Conway,True,36.0,29628.0
Coe College,IA,Cedar Rapids,True,130.0,52576.0
Coker University,SC,Hartsville,True,67.0,31764.0
Colby College,ME,Waterville,True,25.0,66600.0
Colby-Sawyer College,NH,New London,True,12.0,18400.0
Colegio Universitario de San Juan,PR,San Juan,True,,2340.0
Colgate University,NY,Hamilton,True,21.0,67024.0
